CVE-2021-21972,vsphere client html contain remote code execution vulnerability vcenter server plugin malicious actor network access port may exploit issue execute command unrestricted privilege underlie operate system host vcenter server affect vmware vcenter server x u c u l u n vmware cloud foundation x x
CVE-2002-0298,scriptease miniweb server allow remote attacker cause denial service crash via certain http get request contain e e encode dot dot several dot dot sequence miss uri several uri begin slash character
CVE-2002-0661,directory traversal vulnerability apache windows os netware allow remote attacker read arbitrary file execute command via dot dot sequence contain backslash character
CVE-2002-0946,directory traversal vulnerability seanox devwex allow remote attacker read arbitrary file via dot dot sequence http request
CVE-2002-1042,directory traversal vulnerability search engine iplanet web server sp sp netscape enterprise server run windows platform allow remote attacker read arbitrary file via dot dot backslash sequence n query pat parameter
CVE-2002-1209,directory traversal vulnerability solarwinds tftp server possibly earlier allow remote attacker read arbitrary file via dot dot backslash sequence get request
CVE-2002-1178,directory traversal vulnerability cgiservlet jetty http server allow remote attacker execute arbitrary command via dot dot backslash sequence http request cgi bin directory
CVE-2002-1987,directory traversal vulnerability view source jsp resin allow remote attacker read arbitrary file via backslash dot dot
CVE-2005-2142,directory traversal vulnerability golden ftp server allow remote authenticate attacker list arbitrary directory via backslash dot dot l list command
CVE-2002-0160,administration function cisco secure access control server ac windows x earlier x build allow remote attacker read html java class image file outside web root via modify url port
CVE-2001-0467,directory traversal vulnerability robtex viking web server allow remote attacker read arbitrary file via modify dot dot http url request
CVE-2001-0963,directory traversal vulnerability spoonftp allow local sometimes remote attacker access file outside ftp root via modify dot dot cd cwd command
CVE-2001-1193,directory traversal vulnerability eftp allow local user read directory via modify dot dot cwd command
CVE-2001-1131,directory traversal vulnerability whitsoft development slimftpd allow attacker read arbitrary file directory via modify dot dot cd command
CVE-2001-0480,directory traversal vulnerability alex ftp server allow remote attacker read arbitrary file via modify dot dot get cd command
CVE-2002-0288,directory traversal vulnerability phusion web server allow remote attacker read arbitrary file via triple dot dot http request
CVE-2003-0313,directory traversal vulnerability snowblind web server allow remote attacker list arbitrary directory content via triple dot http request
CVE-2005-1658,directory traversal vulnerability filemanager cpp myserver allow remote attacker list parent directory web root via url triple dot
CVE-2000-0240,vqsoft vqserver program allow remote attacker read arbitrary file via url variation dot dot attack
CVE-2000-0773,bajie http web server allow remote attacker read arbitrary file via url contain variant dot dot directory traversal attack
CVE-1999-1082,directory traversal vulnerability jana proxy web server allow remote attacker ready arbitrary file via modify dot dot attack
CVE-2004-2121,multiple directory traversal vulnerability borland web server bw b earlier allow remote attacker read download arbitrary file via multi dot sequence c e e encode sequence url
CVE-2001-0491,directory traversal vulnerability raidenftpd server build allow attacker access file outside ftp root via dot dot attack cwd nlst nlst
CVE-2001-0615,directory traversal vulnerability faust informatics freestyle chat server prior sr allow remote attacker read arbitrary file via specially craft url include variation dot dot attack
CVE-2005-2169,directory traversal vulnerability source php quick dirty phpsource printer earlier allow remote attacker read arbitrary file via sequence file parameter reduce phpsource printer use regular expression remove sequence
CVE-2005-0202,directory traversal vulnerability true path function private py mailman earlier allow remote attacker read arbitrary file via sequence properly cleanse regular expression intend remove sequence
CVE-2004-1670,multiple directory traversal vulnerability merak mail server icewarp web mail possibly version allow remote attacker create arbitrary directory via dot dot user parameter viewaction html rename arbitrary file via double dot dot folderold folder parameter folder html
CVE-2002-1345,directory traversal vulnerability multiple ftp client unix system allow remote malicious ftp server create overwrite file client user via filename contain absolute path dot dot sequence
CVE-2001-1269,info zip unzip earlier allow attacker overwrite arbitrary file archive extraction via filename archive begin slash character
CVE-2002-1818,ezhttpbench php ez httpbench allow remote attacker read arbitrary file via full pathname analysesite parameter
CVE-2002-1913,phptonuke php myphpnuke allow remote attacker read arbitrary file via full pathname filnavn variable
CVE-2005-2147,trac allow remote attacker read upload arbitrary file via full pathname id parameter upload attachment viewer script
CVE-2000-0614,tnef program linux system allow remote attacker overwrite arbitrary file via tnef encode compressed attachment specify absolute path name decompress output
CVE-1999-1263,metamail allow remote attacker overwrite arbitrary file via e mail message contain uuencoded attachment specify full pathname file modify process uuencode metamail script sun audio file
CVE-2003-0753,nphpd php newsphp earlier allow remote attacker read arbitrary file via full pathname target file nphp config langfile parameter
CVE-2002-1525,directory traversal vulnerability astaware searchdisk engine sun one starter kit allow remote attacker read arbitrary file via dot dot attack port absolute pathname port
CVE-2001-0038,offline explorer service release allow remote attacker read arbitrary file specify drive letter e g c request url
CVE-2001-0255,fastream ftp server allow remote attacker list arbitrary directory use l command include drive letter name e g c request pathname
CVE-2001-0933,cooolsoft powerftp server allow remote attacker list content arbitrary drive via l list command include drive letter argument e g l c
CVE-2002-0466,host controller earlier allow remote attacker browse arbitrary directory via full c style pathname filepath argument statsbrowse asp servubrowse asp browsedisk asp browsewebalizerexe asp sqlbrowse asp
CVE-2002-1483,db web c db web c exe program db web allow remote attacker read arbitrary file via http request whose argument filename form c drive letter absolute path double slash dot dot
CVE-2004-2488,directory traversal vulnerability nexgen ftp server allow remote authenticate user read list arbitrary file via c sequence retr get nlst l list l rnfr rnto ftp command
CVE-2001-0687,broker ftp server windows nt x allow remote attacker retrieve privilege web server system information issue cd command cd c follow l command specify arbitrary path unc format computername sharename
CVE-2000-1114,unify servletexec v c allow remote attacker read source code jsp page via http request end character
CVE-2002-1986,perception liteserve allow remote attacker obtain source code cgi script via http request trail dot
CVE-2004-2213,mbedthis appweb http server allow remote attacker obtain source code script via trail dot trail space http request
CVE-2005-3293,xerver allow remote attacker obtain source code script via request trail dot list directory content via trail null character
CVE-2004-0061,www file share pro earlier allow remote attacker bypass directory access restriction via url trail dot uri lead slash backslash character
CVE-2000-1133,authentix authentix allow remote attacker bypass authentication insert dot url protect directory
CVE-2001-1386,wftpd allow remote attacker read arbitrary file upload link file end lnk extension bypass wftpd check lnk extension
CVE-2001-0693,webtrends http server c allow remote attacker view script source code via filename follow encode space
CVE-2001-0778,omnihttpd earlier allow remote attacker obtain source code via get request url encode symbol space
CVE-2001-1248,vwebserver allow remote attacker view arbitrary asp script via request asp script end url encode space character
CVE-2004-0280,caucho technology resin allow remote attacker view jsp source via http request jsp file end encode space character e g index jsp
CVE-2005-0622,raidenhttpd possibly version allow remote attacker view php source code via http get request filename trail dot space
CVE-2005-1656,mercur message sp allow remote attacker read source code ctml file via url trail hex encode space
CVE-2002-1603,goahead web server earlier allow remote attacker obtain source code asp file via url terminate f encode encode space encode null character return asp source code unparsed
CVE-2001-0054,directory traversal vulnerability ftp serv u allow remote attacker escape ftp root read arbitrary file append string cd command variant dot dot attack
CVE-2002-1451,blazix allow remote attacker read source code jsp script list restrict web directory via http request end backslash character
CVE-2000-0293,aaa base suse linux cron daily earlier version allow local user delete arbitrary file create file whose name include space incorrectly interpret aaa base delete expire file tmp directory
CVE-2001-1567,lotus domino server earlier allow remote attacker bypass security restriction view note database file possibly sensitive note template file ntf via http request large number character nsf file extension convert space domino
CVE-2002-0253,php configure display error set php ini allow remote attacker obtain physical path include file via trail slash request directly accessible php program modify base path cause include directive fail produce error message contain path
CVE-2001-0446,ibm wcs websphere commerce suite application server allow remote attacker read source code jsp file append request url
CVE-2004-0334,innomedia videophone allow remote attacker bypass basic authorization via http request videophone admindetail asp videophone syscfg asp videophone upgrade asp videophone sysctrl asp contain trail slash note original report mention axis network camera likely cut paste error
CVE-2001-0893,acme mini httpd allow remote attacker view sensitive file document root htpasswd via get request trail
CVE-2001-0892,acme thttpd secure webserver chroot option enable allow remote attacker view sensitive file document root htpasswd via get request trail
CVE-2004-1814,directory traversal vulnerability vocaltec vgw gateway allow remote attacker read protect file via dot dot sequence http request demonstrate use home asp
CVE-2002-1483,db web c db web c exe program db web allow remote attacker read arbitrary file via http request whose argument filename form c drive letter absolute path double slash dot dot
CVE-1999-1456,thttpd http server earlier allow remote attacker read arbitrary file via get request one lead slash character filename
CVE-2004-0578,wingate build beta build version allow remote attacker read arbitrary file via lead slash character url request wingate internal directory
CVE-2002-0275,falcon web server earlier allow remote attacker bypass authentication read restrict file via extra slash request url
CVE-2004-1032,fcronsighup fcron possibly earlier version allow local user delete arbitrary file create arbitrary empty file via target filename large number lead slash character fcronsighup properly append intend fcrontab sig result string
